CellID,Length,Synapses,Density,Degree,WeightedDegree
15983156,82.947499,14,0.16878146,7,14
15532105,71.204579,6,0.084264244,5,6
17729335,156.69895,80,0.51053311,41,80
17380309,173.48934,63,0.36313471,31,63
3790004,69.313751,411,5.9295594,25,411
1435466,78.732133,23,0.29212977,11,23
17378475,143.32728,78,0.54420902,26,78
3639968,78.012015,206,2.6406189,10,206
3716797,80.382972,322,4.0058235,34,322
7424178,91.402068,22,0.24069477,8,22
2608843,68.920537,463,6.7178815,23,463
15674083,70.302581,17,0.24181189,8,17
17951153,80.278672,37,0.46089452,16,37
15530882,81.493729,28,0.34358472,14,28
15611791,62.966639,9,0.14293283,5,9
10017661,89.546352,9,0.10050661,8,9
3609202,77.110118,198,2.5677564,15,198
1400725,70.725313,21,0.29692339,10,21
15629888,60.074958,3,0.049937613,2,3
7527710,88.468064,418,4.7248689,27,418
15997645,66.201375,61,0.92143102,24,61
5120097,66.749207,3,0.044944354,2,3
17659219,160.69625,34,0.2115793,16,34
15574328,82.385457,27,0.32772774,16,27
15679484,69.426016,2,0.028807645,2,2
17728605,153.13343,95,0.62037401,26,95
15573381,69.055288,16,0.2316984,6,16
15711222,68.503116,2,0.029195752,2,2
15680710,63.325696,8,0.12633102,4,8
15713206,70.809193,4,0.05648984,3,4
9820270,83.817307,21,0.25054491,10,21
15586536,73.851974,21,0.28435259,8,21
15998218,66.634836,30,0.45021496,11,30
6883831,84.293284,36,0.42708029,11,36
17654967,159.05165,89,0.55956665,37,89
15995404,77.73604,87,1.119172,18,87
15998782,63.815419,19,0.29773369,11,19
16666673,143.8097,61,0.42417165,31,61
15573450,79.124895,14,0.17693546,8,14
15769680,87.47254,28,0.32010046,13,28
9429085,160.2651,87,0.54285056,37,87
15590793,148.21976,70,0.47227173,42,70
3608397,77.001262,159,2.0649012,11,159
15716309,90.058863,58,0.64402323,26,58
3465659,89.959195,460,5.1134295,25,460
16464614,78.959556,23,0.29128836,16,23
8766921,82.543199,17,0.20595276,14,17
2611805,88.270506,345,3.9084403,31,345
15716094,79.638657,14,0.17579402,13,14
3896629,87.276726,435,4.9841466,21,435
15770945,93.065552,47,0.50502038,14,47
10963761,147.12354,34,0.2310983,16,34
15522777,68.446386,96,1.4025576,25,96
17736641,144.27943,55,0.38120473,27,55
17383431,184.03965,143,0.77700646,60,143
3232277,141.58931,91,0.64270388,47,91
17574013,146.17703,52,0.35573304,30,52
18080008,140.87943,101,0.71692512,47,101
15611642,66.785171,2,0.029946768,2,2
15677030,90.764505,7,0.077122659,4,7
15461769,73.271617,61,0.83251881,15,61
15997929,74.41012,58,0.77946387,21,58
15615305,66.837973,1,0.014961555,1,1
15564782,85.534973,18,0.21044024,10,18
21590978,145.85069,40,0.27425308,18,40
20443505,142.15339,38,0.26731687,18,38
15573396,88.294809,54,0.61158748,13,54
16950321,146.93612,60,0.4083407,35,60
15715796,74.958682,10,0.13340683,4,10
17356467,173.94792,38,0.21845619,15,38
3410506,95.240826,364,3.8218904,21,364
18630153,73.467933,185,2.5181054,10,185
3267019,88.497034,5,0.056499068,3,5
15998817,87.495867,33,0.37716067,20,33
7719547,88.071963,371,4.2124643,28,371
17321919,241.60134,56,0.23178679,27,56
16347476,161.13332,98,0.60819201,45,98
10240382,142.07079,65,0.4575184,30,65
15997983,82.720033,41,0.49564777,15,41
16628000,83.494811,34,0.40721093,17,34
11286854,143.22673,61,0.42589816,24,61
3980315,77.292595,375,4.8516938,34,375
17247877,160.64662,71,0.44196385,39,71
15606918,77.73633,11,0.14150398,5,11
2652641,131.10416,49,0.37374863,19,49
11029359,144.24992,75,0.51993097,34,75
15998100,79.668537,38,0.47697625,16,38
17543765,177.75871,19,0.10688647,16,19
17654519,163.32558,37,0.22654137,17,37
5120990,86.255219,1,0.011593501,1,1
1715990,94.193606,46,0.48835586,18,46
15575052,97.772801,14,0.14318911,9,14
15564882,95.031178,15,0.15784293,10,15
16490014,142.25532,71,0.4991026,29,71
19180425,76.109572,10,0.13138952,4,10
2584838,75.956024,370,4.8712397,27,370
15561413,86.888778,21,0.24168829,12,21
15996271,76.296606,6,0.078640457,4,6
9574259,78.910588,19,0.24077884,12,19
9012340,79.642171,22,0.27623556,14,22
15592696,78.930023,64,0.81084482,22,64
5116861,88.723156,5,0.056355074,3,5
14782250,190.11901,109,0.57332509,48,109
3652587,91.266706,33,0.36157764,14,33
15564661,90.143015,24,0.26624359,15,24
15716127,85.099422,32,0.37603076,14,32
2557644,178.72383,87,0.48678454,27,87
19090042,133.43271,123,0.92181294,42,123
15690955,86.875534,3,0.034532162,2,3
15680093,86.641858,73,0.84254887,13,73
15563553,81.48386,13,0.1595408,9,13
17728896,138.23448,24,0.17361804,11,24
17360225,221.22616,71,0.32093854,34,71
4097554,76.097973,48,0.63076581,13,48
15574231,90.472943,47,0.51949233,14,47
15546924,89.321608,42,0.47021097,21,42
15548107,85.098517,15,0.17626629,11,15
17729424,148.40553,36,0.24257856,19,36
15398807,82.157445,21,0.25560678,15,21
15700147,101.16667,13,0.12850082,6,13
15998469,79.222582,34,0.42917056,18,34
16053670,84.058582,24,0.28551517,14,24
5095269,96.539365,5,0.051792344,4,5
15618976,76.091404,10,0.13142089,6,10
3865952,93.274379,395,4.2348178,26,395
3813723,82.864533,287,3.4634842,26,287
15997807,79.058699,27,0.3415184,17,27
15451084,85.327218,46,0.53910113,18,46
9578602,86.566295,14,0.16172576,10,14
15680043,199.8729,64,0.32020349,37,64
20242957,182.47339,28,0.15344703,12,28
11717025,150.42809,16,0.10636311,8,16
3966683,89.325815,104,1.1642771,27,104
17360030,191.9728,31,0.16148121,21,31
17067625,149.31573,60,0.40183307,33,60
3893195,89.090258,394,4.4224813,24,394
3958234,90.67891,427,4.7089229,26,427
3885215,89.421329,546,6.1059258,35,546
6791927,95.979067,458,4.7718739,33,458
15714173,116.52359,35,0.30036836,10,35
15689373,101.1858,189,1.867851,28,189
8055671,123.07618,27,0.21937633,11,27
20911955,148.21265,56,0.37783548,23,56
15998768,91.052094,36,0.39537806,21,36
10017804,102.32739,26,0.25408642,17,26
15574199,95.126298,18,0.18922212,9,18
1392771,91.540678,18,0.1966339,9,18
15715643,90.562447,67,0.739821,27,67
2964760,141.61435,78,0.55079163,43,78
17728723,205.69398,81,0.39378887,16,81
15656435,94.757489,15,0.15829883,7,15
4076389,97.526152,335,3.4349761,25,335
15995958,204.24337,79,0.38679346,39,79
19037563,121.20341,30,0.2475178,8,30
7658146,85.360868,307,3.5964958,21,307
11717040,155.3565,43,0.27678275,24,43
2512602,109.64044,58,0.5290019,20,58
3827211,101.84315,541,5.31209,24,541
15686512,96.839741,57,0.58860132,14,57
1405493,92.292676,28,0.30338268,16,28
3547397,111.02153,293,2.6391276,20,293
15589362,90.024902,35,0.38878132,19,35
10234576,164.24091,126,0.76716575,55,126
9808022,121.38278,24,0.19772162,10,24
17732311,210.17716,74,0.35208392,19,74
2582391,98.918955,309,3.1237693,23,309
16026042,115.71527,28,0.24197324,20,28
17655000,221.83805,101,0.45528709,34,101
15825892,160.85338,132,0.82062309,54,132
6340439,114.80904,341,2.9701494,24,341
19880680,179.64878,96,0.53437601,52,96
3464773,108.15147,479,4.4289734,19,479
18088813,129.33181,59,0.45619095,33,59
16435406,117.84078,31,0.26306682,18,31
12260696,102.25694,107,1.0463837,30,107
15678849,108.60567,6,0.055245737,6,6
5186461,101.81742,154,1.5125113,41,154
8347907,169.75707,108,0.63620327,31,108
3071301,97.649938,76,0.77829031,14,76
17975547,189.90574,123,0.64768975,41,123
15712024,85.431408,1,0.011705297,1,1
15562137,104.07534,22,0.21138532,17,22
15678441,88.186977,4,0.045358171,3,4
15018449,169.92505,119,0.70030874,46,119
17658672,185.93535,84,0.45176993,44,84
3487306,99.106333,234,2.3611004,16,234
15688358,107.16275,109,1.0171445,26,109
15717426,103.55141,7,0.067599271,3,7
15715151,94.950833,15,0.1579765,11,15
15617459,101.06199,11,0.10884409,4,11
8413543,146.18082,25,0.17102107,14,25
17355892,206.56994,21,0.10166048,4,21
3963891,102.14893,435,4.2584881,36,435
14726012,151.50491,107,0.70624775,37,107
17356454,192.91226,84,0.4354311,28,84
11821320,120.60432,140,1.1608207,18,140
15588691,99.34226,182,1.8320501,35,182
15615081,94.595126,35,0.36999792,15,35
11717035,152.71371,8,0.052385603,5,8
15564706,102.88764,36,0.34989627,15,36
3840345,101.58529,468,4.6069661,36,468
17728730,192.05758,72,0.37488756,25,72
15741951,105.19818,10,0.095058682,10,10
11192283,127.83255,3,0.0234682,3,3
15564911,108.82508,25,0.22972646,13,25
16448967,99.653691,19,0.19066027,16,19
15769419,100.93166,33,0.32695389,12,33
12389097,207.96013,154,0.74052656,43,154
7694589,135.26421,62,0.45836219,14,62
15998913,100.54685,1,0.0099456123,1,1
12366640,137.23368,44,0.32062101,25,44
15713374,88.487282,6,0.067806355,4,6
15653432,98.760535,83,0.84041667,24,83
11009492,162.49011,74,0.45541234,37,74
15675901,105.22982,7,0.06652107,6,7
17933822,164.07929,70,0.42662301,44,70
17488886,165.9213,49,0.29532074,32,49
15505837,122.62089,4,0.032620868,3,4
18570360,187.79143,109,0.58043117,48,109
1398253,96.328088,32,0.33219802,16,32
15575232,113.7576,21,0.18460304,10,21
8118929,139.06253,87,0.62561783,33,87
16463097,149.61693,43,0.28740064,20,43
15711289,110.59128,12,0.10850765,7,12
15458316,92.465211,46,0.4974844,17,46
14995061,225.46068,79,0.3503937,59,79
15548694,102.88389,11,0.10691664,9,11
6254216,135.67674,11,0.081075063,10,11
5057916,106.41988,8,0.075173922,8,8
15734666,102.4759,15,0.14637589,11,15
17360022,208.12193,86,0.4132193,41,86
15736147,102.00812,57,0.55877907,30,57
15998899,125.4759,3,0.023908974,2,3
15543394,108.59826,50,0.46041252,19,50
14659793,128.07691,24,0.18738741,19,24
15595607,100.37872,93,0.92649119,23,93
9060993,123.61186,13,0.1051679,7,13
15681740,108.34911,150,1.3844138,24,150
5858788,164.57012,49,0.29774543,15,49
17513284,191.9585,128,0.66681078,52,128
