CellID,Length,Synapses,Density,Degree,Weighted_Degree
5813045442,853.9394008,242,0.283392474657202,101,206
5812986772,861.9365592,338,0.392140229338586,98,226
1135872491,722.861548,349,0.482803381872513,94,325
5813010591,988.9417296,208,0.210325840010948,114,195
5812992940,1252.9059736,323,0.257800670446097,82,250
1173745220,1075.4459896,1021,0.949373571405245,339,867
661421129,1105.828796,1073,0.970312948877124,305,786
5813053878,1142.723404,1140,0.997616742607645,352,853
1286315568,948.944096,650,0.6849718573938,115,438
5812982578,1102.8627752,982,0.890409960406831,328,782
850492366,854.5233288,621,0.726720943794554,195,588
5812991183,838.9447128,258,0.307529204324941,86,151
543002278,728.1033328,194,0.266445697005605,101,192
695163759,957.9816864,264,0.275579380846085,81,224
634741770,1047.4427256,311,0.296913609115813,144,270
1319655556,1008.8151224,318,0.31522128578274,124,397
601047853,1033.7135936,1012,0.978994574769612,312,792
787196614,1029.476748,311,0.302095215461826,146,312
5813021659,1107.3344608,992,0.895844963845272,270,676
755544921,1106.0326368,892,0.806486147263028,278,701
421003580,763.2263528,223,0.292180686872111,68,157
667840305,993.7228,311,0.312964541016871,92,212
1498436059,839.0031624,349,0.415969826623385,71,312
1410450949,907.5819256,694,0.764669260619308,149,458
1471778506,1143.2862752,1029,0.90003704437018,240,1040
1072805036,800.2288952,326,0.407383439857571,74,184
1142994933,1109.6402568,979,0.882267918814749,313,761
642335523,1159.0672144,921,0.794604478979041,134,666
5813032782,1078.48124,1009,0.935574920153456,298,759
571424636,1142.9063792,1051,0.919585382606464,319,811
1141337663,1127.9939648,954,0.845749205909227,306,771
262504004,2319.2392808,505,0.217743811162859,93,462
1912725048,1042.5896992,376,0.360640432462082,98,212
644896959,1049.4503832,937,0.892848308981398,215,747
662081902,1122.3802936,1080,0.962240700552514,335,804
1037518512,1087.6943064,623,0.572771224722116,128,314
5813045696,1108.1288888,346,0.312238046942974,116,249
1097917776,1102.4996712,593,0.537868641134884,274,655
1106064205,841.5251288,179,0.212709037287158,86,140
1904117032,982.2305304,266,0.270812188959017,76,145
5812995098,1117.3454656,361,0.323087183967895,101,292
727855437,1140.6071816,464,0.406800875432959,122,382
1064891781,1138.8452208,1012,0.888619437933018,155,740
299298593,1249.6740032,294,0.235261355559261,8,8
420230547,914.3213136,285,0.31170661315753,109,218
676504624,1511.7938848,1027,0.679325409585094,442,1548
1625829992,1081.244488,336,0.310753029244575,94,264
1142028710,1088.522216,1080,0.992170838707071,355,903
661399477,1039.8159832,941,0.904967816617035,283,704
5813019917,1119.361696,953,0.851378069667304,322,757
546977514,1056.241492,788,0.746041512256744,239,947
5813077613,1146.0961368,1038,0.90568318544218,316,759
632082635,1063.5620552,997,0.937415917694165,320,785
1722311484,856.3379832,316,0.369013177272784,141,256
692818802,1145.2457216,1059,0.924692386993153,338,854
1659231557,796.065152,306,0.384390648467928,106,177
5812980813,1144.1258304,1102,0.963180771484486,363,915
481941863,891.6018608,242,0.271421595938419,101,138
5813033869,861.2270328,227,0.263577420766721,95,191
1261561493,1108.6928056,619,0.558315158963272,145,317
5812987894,1055.7338976,904,0.856276379924016,181,714
478250482,1169.7508328,1141,0.975421404290707,323,860
666818214,938.9973992,239,0.254526796563677,101,164
1343732093,990.61182,498,0.502719622303719,136,287
5813054086,1080.6492408,955,0.883728007149681,313,737
5812982875,1065.9936008,993,0.931525291760457,304,678
1073120403,790.3743224,515,0.651589994012184,104,378
1173072129,1072.605628,972,0.906204456350289,342,787
762745906,973.0186376,270,0.277486976679058,134,285
1035843717,984.5292672,311,0.315887003424981,86,259
5812988920,1105.3986672,493,0.445992938682277,96,321
1281649467,953.2471968,501,0.525571962531681,174,391
508616471,1138.5604312,1101,0.967010594984043,327,810
633148704,1158.9921112,1085,0.936158227062141,327,824
632600726,853.8044672,591,0.692195956690352,135,398
976917230,1011.0068448,290,0.286842766190538,67,133
731918732,810.241972,218,0.269055427308819,87,173
662094168,1204.7033072,1138,0.944630925472403,353,861
1873086684,939.8703224,453,0.481981385307757,117,342
799215269,1083.4079848,958,0.884246759706916,194,742
570742510,1191.0806176,1097,0.921012384711985,343,880
1718439069,893.4876352,331,0.370458400273114,68,144
1132487921,844.3412208,616,0.729562864899986,107,361
5813033059,1119.0752136,1005,0.898062961082815,290,779
415835070,1149.8215472,1153,1.00276430095413,380,924
1532851068,766.7792264,253,0.329951557487839,79,202
601047826,1090.5181008,1017,0.932584245281149,294,726
1723658004,782.1106744,295,0.377184469738008,89,153
5813062617,1180.6018984,1065,0.902082235716656,341,857
5812982620,1139.679812,1014,0.889723577906108,339,838
1320044239,775.2496976,481,0.620445259751882,65,200
816276925,1109.4760152,1077,0.970728510796923,374,865
1387575003,1148.4579088,967,0.841998642345019,156,729
450004644,817.314084,323,0.395196909392791,110,185
737218956,1005.0699872,342,0.340274811063426,111,205
1720226812,834.7809648,381,0.456407148779778,132,239
5812992043,1085.6142056,275,0.25331282382033,37,56
1788248514,965.535492,229,0.237174088262309,15,16
5813012044,1044.2193792,337,0.32272911872042,152,335
1141342260,1140.2760888,1032,0.905043971487688,326,865
2062780103,930.1743496,197,0.211788252476232,36,66
1141010036,1117.6696696,973,0.870561335307797,326,757
855630800,826.4678216,451,0.545695776911056,121,302
1315627948,971.3235128,307,0.316063593596146,136,294
1412238418,912.921156,621,0.680233989450892,129,599
1317169555,930.3006528,276,0.296678282627558,53,157
918468865,878.3134888,230,0.261865498973765,126,215
670915068,1096.9107432,326,0.297198292587568,96,224
5813062631,1136.0243856,1021,0.8987483129253,314,857
1173408617,1097.7295088,986,0.898217632026546,333,807
540389734,1182.0994528,1030,0.871331086026876,317,830
5813032541,1070.8397664,1036,0.967465005042607,360,879
1163185810,815.276712,578,0.70896174451258,84,259
1267164975,1088.1693544,1027,0.943786916850155,316,766
724522447,1118.8214872,980,0.875921682959969,335,815
948704770,783.3756304,340,0.434019117784392,113,242
1189904590,1118.6388048,748,0.668669812624401,200,460
643061275,980.0395816,469,0.478552100145095,140,327
5813060811,1085.7084576,918,0.845530854599101,257,642
5812990678,1179.740384,352,0.298370730352145,101,173
1437652965,1144.0904472,421,0.367977899850784,43,51
1141977071,1116.7017376,986,0.88295734375689,324,810
5812986864,1079.035784,258,0.239102357702717,110,372
1259377325,998.2767104,765,0.766320592306988,118,1280
5813077788,1172.6366176,584,0.498022994706796,236,658
880383629,1089.949828,1034,0.948667519767708,324,779
1483679759,896.6093584,272,0.303365113749631,47,89
661740651,1129.499052,1042,0.92253286813737,316,808
1141630854,1097.2439296,946,0.862160158265687,322,728
1172670463,1096.5375528,900,0.820765324180515,299,698
787421409,749.0144152,208,0.277698260245713,32,34
693500652,1156.4176208,1042,0.901058563323476,311,834
