CellID,Length,Synapses,Density,Degree,WeightedDegree
79451,85.39613,38,0.44498504,3,10
81620,87.00073,47,0.54022535,9,23
77531,93.22837,117,1.2549828,4,73
79025,93.09747,78,0.83783158,15,39
76273,91.80556,102,1.1110438,6,59
79009,89.12505,107,1.2005603,25,75
77076,95.22049,240,2.5204659,2,50
76857,92.18211,108,1.1715939,2,12
79573,96.89301,93,0.95982156,4,15
78391,91.40055,106,1.1597304,29,60
79651,93.27693,117,1.2543294,4,29
79586,92.69539,91,0.98171009,16,169
79167,97.61806,118,1.2087927,4,16
78599,95.2205,90,0.94517462,1,4
76355,101.4851,103,1.0149273,6,75
80808,97.91681,57,0.58212681,3,26
79657,97.10399,142,1.4623498,16,78
80536,102.7065,150,1.4604723,1,19
80313,97.71994,107,1.0949659,4,71
77532,104.5369,117,1.119222,6,85
79707,97.76272,135,1.3808945,10,37
79698,100.5471,108,1.0741235,4,21
79142,100.5113,154,1.532166,2,29
80188,96.64256,166,1.7176697,5,61
80205,98.11324,116,1.1823073,3,59
80355,100.7976,72,0.71430272,18,108
77525,98.67475,107,1.0843706,3,74
77498,110.236,94,0.85271599,1,59
81025,101.8264,73,0.71690642,17,61
79158,98.56648,124,1.2580342,6,19
80207,98.02393,137,1.3976179,5,15
79669,99.66397,139,1.3946866,5,28
78670,103.0521,95,0.9218638,21,41
78775,105.2115,118,1.1215504,1,12
78762,106.1389,57,0.53703213,7,33
77825,103.2268,109,1.0559273,1,39
79778,103.8786,107,1.0300485,2,12
79463,104.4865,109,1.043197,2,13
79504,101.5594,91,0.89602735,4,18
79671,103.7314,152,1.4653229,5,14
79899,102.6961,71,0.69136024,3,10
77533,105.0956,136,1.2940599,2,74
77078,103.1163,160,1.5516461,17,90
81522,106.0362,76,0.71673636,24,56
79160,104.2565,128,1.2277412,2,20
79650,110.3053,123,1.1150869,3,19
78861,110.809,58,0.52342319,5,16
76290,108.3645,99,0.91358332,36,102
78582,110.8946,133,1.199337,7,44
78632,114.597,54,0.47121652,14,25
79259,114.6855,162,1.4125587,3,33
79172,107.7166,102,0.94692926,7,27
80720,111.8111,75,0.67077419,4,12
78607,109.8425,151,1.3746956,1,6
79656,111.2832,166,1.4916897,2,24
76263,111.3894,140,1.2568521,25,100
79135,112.5957,131,1.1634547,2,23
77626,115.2364,62,0.53802444,31,52
77497,116.057,94,0.80994684,3,74
78627,117.6282,193,1.640763,6,29
79258,118.0072,80,0.67792474,4,16
77254,114.5552,243,2.1212481,1,32
79024,120.8477,141,1.1667578,13,49
80274,117.6649,150,1.2748067,3,20
79154,115.1401,131,1.1377444,9,33
76270,113.2978,169,1.4916441,3,24
78180,117.2714,169,1.4411016,3,18
79675,113.924,144,1.2640006,9,62
79700,131.3989,166,1.2633287,13,62
76406,118.6804,117,0.98584096,0,2
79120,118.0708,191,1.6176735,1,17
79781,116.5557,242,2.0762605,6,50
80615,113.9318,112,0.98304424,4,20
78821,119.6928,126,1.0526949,13,40
79013,115.4803,136,1.17769,8,44
79043,117.9741,122,1.0341253,4,50
79790,119.7472,157,1.3110954,3,22
79693,120.1669,146,1.2149768,3,19
81827,121.2969,139,1.1459485,6,32
78828,124.3828,69,0.55473908,5,24
79721,121.9247,116,0.95140689,2,22
79673,121.9759,157,1.2871395,6,26
77911,134.0413,90,0.67143485,3,49
80230,121.2709,183,1.5090182,11,62
76833,120.3643,66,0.54833535,10,29
76392,121.312,203,1.6733711,1,55
79757,127.7713,163,1.2757168,2,13
79578,131.061,201,1.533637,1,20
79180,130.8109,188,1.4371891,2,15
78781,127.7691,173,1.354005,5,26
79876,123.3802,106,0.85913299,2,9
81548,125.9822,51,0.40481909,9,25
79666,122.3691,143,1.1685957,11,65
79670,126.0115,161,1.2776612,9,35
78888,132.9685,85,0.63924915,4,19
76272,127.1874,180,1.4152345,4,105
77387,131.2146,50,0.38105516,6,9
79118,131.5673,144,1.0944969,1,9
79735,127.6276,100,0.78352958,12,47
79177,132.4229,108,0.81556891,5,25
79881,128.3678,128,0.9971348,7,25
79132,127.2804,114,0.89566029,3,33
81586,128.7899,81,0.62893131,4,13
79126,130.7091,171,1.3082486,3,24
78761,128.3051,166,1.2937911,2,27
79894,126.8723,284,2.2384713,6,52
79513,130.4336,235,1.801683,2,24
78118,132.2742,93,0.70308496,3,19
79691,134.2234,142,1.0579377,4,30
79690,134.0173,194,1.4475743,7,42
77066,139.7588,232,1.6600028,12,90
76487,129.9425,216,1.6622737,5,149
78401,138.3197,170,1.2290368,42,145
81062,133.8084,120,0.89680468,24,59
78834,134.9617,118,0.87432212,6,39
78626,131.4205,122,0.92831788,4,20
79864,137.1613,177,1.2904515,6,29
80279,127.4983,101,0.79216742,8,43
79867,133.1886,123,0.92350246,6,36
81815,138.072,130,0.94153775,5,34
79432,133.8637,122,0.91137478,3,13
78410,132.3786,132,0.99714002,0,17
79925,132.2268,303,2.2915173,3,20
79122,137.8963,234,1.6969273,5,32
81556,134.0653,105,0.78320043,8,18
79706,137.2195,106,0.77248496,5,34
76350,144.4071,136,0.94178195,52,153
79658,136.667,217,1.587801,22,82
81313,142.7234,137,0.95989866,6,18
78055,137.7044,251,1.822745,10,134
79197,138.948,166,1.1946915,4,27
76949,144.6953,175,1.209438,7,48
78844,143.4561,261,1.8193719,6,67
79119,143.0308,247,1.7269008,6,46
