CellID,Length,Synapses,Density,Degree,Weighted_Degree
SAADL,164.19207,131,0.797846,21,131
SAADR,164.31703,155,0.943298,22,155
SAAVL,158.97308,181,1.13856,17,181
SAAVR,158.95556,153,0.962533,18,153
AVKL,806.83807,132,0.163602,25,132
AVKR,821.42927,115,0.14,25,115
DVC,782.59974,143,0.182724,28,143
AVJL,777.65112,129,0.165884,35,129
AVJR,778.22821,139,0.178611,37,139
PVT,741.23386,110,0.148401,30,110
AVDL,792.78949,403,0.508332,57,403
AVDR,792.78316,392,0.494461,66,392
AVL,792.64742,118,0.148868,30,118
PVWL,65.273024,26,0.398327,13,26
PVWR,65.307913,17,0.260305,11,17
RIAL,56.418197,834,14.7825,45,834
RIAR,56.450286,864,15.3055,45,864
RIML,79.126182,403,5.09313,36,403
RIMR,79.15275,403,5.09142,36,403
AVEL,381.55843,428,1.12172,62,428
AVER,381.45328,428,1.12202,60,428
RMFL,59.693887,95,1.59145,20,95
RMFR,59.794216,73,1.22085,14,73
RID,790.31894,77,0.097429,25,77
AVBL,823.31241,403,0.489486,58,403
AVBR,823.44006,387,0.46998,59,387
AVAL,781.23109,925,1.18403,94,925
AVAR,781.34977,977,1.2504,92,977
PVCL,769.86737,442,0.574125,58,442
PVCR,769.63221,434,0.563906,56,434
RIPL,106.2065,211,1.9867,22,211
RIPR,106.16317,246,2.31719,23,246
URADL,77.691975,59,0.759409,8,59
URADR,77.702271,42,0.540525,8,42
URAVL,79.941632,90,1.12582,15,90
URAVR,79.930249,69,0.863253,16,69
RMEL,46.172517,78,1.68932,15,78
RMER,46.182218,98,2.12203,16,98
RMED,175.87354,70,0.398013,16,70
RMEV,783.02667,101,0.128987,21,101
RMDDL,35.590212,351,9.86226,28,351
RMDDR,35.581661,320,8.9934,23,320
RMDL,37.868717,260,6.86583,34,260
RMDR,37.888706,271,7.15253,31,271
RMDVL,39.242124,335,8.53674,25,335
RMDVR,39.217903,336,8.56752,27,336
RIVL,48.298889,85,1.75987,16,85
RIVR,48.327277,86,1.77953,18,86
RMHL,46.610741,81,1.7378,24,81
RMHR,46.583497,107,2.29695,19,107
SABD,221.28453,55,0.248549,14,55
SABVL,97.613677,51,0.522468,9,51
SABVR,97.613065,38,0.389292,7,38
SMDDL,750.23769,297,0.395875,29,297
SMDDR,750.85442,303,0.40354,32,303
SMDVL,769.58149,301,0.391122,35,301
SMDVR,770.47213,287,0.372499,30,287
SMBDL,749.21111,146,0.194872,19,146
SMBDR,749.7659,186,0.248077,27,186
SMBVL,770.57663,123,0.159621,22,123
SMBVR,769.5798,131,0.170223,20,131
SIBDL,785.50319,38,0.0483766,6,38
SIBDR,786.24832,63,0.0801274,11,63
SIBVL,806.80096,74,0.0917203,13,74
SIBVR,806.11838,73,0.0905574,14,73
SIADL,785.78817,105,0.133624,15,105
SIADR,786.00043,104,0.132315,17,104
SIAVL,771.27508,111,0.143918,15,111
SIAVR,770.74924,89,0.115472,15,89
DA1,159.80828,110,0.688325,13,110
DA2,250.81307,88,0.350859,17,88
DA3,373.6523,127,0.339888,16,127
DA4,486.70839,75,0.154096,14,75
DA5,621.05598,78,0.125593,17,78
DA6,723.53366,54,0.0746337,13,54
DA7,661.34632,63,0.0952602,13,63
DA8,238.0791,106,0.44523,26,106
