CellID,Length,Synapses,Density,Degree,WeightedDegree
864691135700626304,1824.7111,1833,1.00454258,74,1876
864691135736907904,1862.8447,1150,0.617335412,42,1183
864691135724221312,1788.1792,1288,0.720285752,338,1600
864691135776153984,1852.8974,1589,0.857575816,53,1694
864691135988286208,1821.3247,1754,0.963035312,64,1773
864691136031748736,1800.2287,2123,1.17929461,16,2167
864691135657779072,1850.6385,1526,0.824580273,40,1582
864691135986893312,1821.2963,2034,1.11678698,166,2136
864691135337703680,1848.297,2239,1.2113854,39,2327
864691137196920448,1854.7385,1806,0.973722172,105,1839
864691135644614144,1805.3691,1481,0.820330868,62,1512
864691136136649088,1789.315,1722,0.962379458,103,1804
864691135445939072,1856.2301,872,0.469769346,41,872
864691136333896320,1867.5116,1090,0.58366438,194,1369
864691136952001536,1866.9072,1004,0.537787845,109,1078
864691136090925696,1857.5274,1161,0.625024428,140,1281
864691135763174784,1762.7311,1113,0.631406571,51,1118
864691135462269568,1859.9916,1499,0.805917618,67,1534
864691135718492416,1818.2736,1912,1.05154692,79,1952
864691136005130752,1938.13,1257,0.648563306,48,1309
864691136836643200,1840.4709,1364,0.741114679,56,1384
864691135501555840,1888.0685,1858,0.984074466,59,1923
864691135730167936,1850.5769,1956,1.05696769,91,1995
864691135945379328,1868.0442,1403,0.751052893,105,1463
864691135855626496,1866.8228,1647,0.882247635,69,1695
864691135581941376,1821.3483,1059,0.581437389,95,1074
864691136031660160,1893.0454,879,0.464331178,83,903
864691135837572480,1869.9576,1553,0.830500114,150,1653
864691136194207232,1852.9944,1001,0.540206705,134,1159
864691135974447232,1834.8269,1407,0.76682983,32,1422
864691135463801216,1886.6548,1421,0.753184949,101,1430
864691136697954944,1849.9225,1103,0.596241194,148,1158
864691136715071616,1883.7915,1899,1.00807335,107,1933
864691136118426112,1872.7414,1623,0.866643948,48,1659
864691136123766784,1863.2233,1305,0.700399142,39,1321
864691135873636736,1820.0971,1378,0.757102464,52,1390
864691135815480704,1837.9216,1447,0.787302353,96,1500
864691135548355328,1865.3813,1422,0.762310633,138,1525
864691136912979072,1829.1238,1704,0.931593586,39,1716
864691136925385856,1862.6431,1850,0.99321228,69,1870
864691136273615360,1874.9213,492,0.262411014,160,629
864691136418877056,1779.1289,1567,0.880768111,69,1583
864691136973825280,1870.3738,1466,0.783800543,67,1488
864691136482896896,1854.0578,2101,1.13319013,25,2185
864691135807230464,1832.507,1376,0.750883898,98,1488
864691136740666496,1881.8458,1729,0.918778786,104,1776
864691135739625600,1894.8866,1316,0.694500663,258,1539
864691136116164736,1858.4348,2315,1.2456719,100,2344
864691136226961280,1881.8203,1256,0.667438862,97,1298
864691135988298496,1845.5926,1668,0.903774755,78,1729
864691135468172928,1838.2756,1948,1.05968876,27,2012
864691136136633216,1893.3766,803,0.424110026,37,823
864691136311794944,1857.6916,1362,0.733167981,62,1410
864691135866905088,1887.3343,1681,0.890674217,114,1727
864691135994566016,1904.7005,2047,1.07470965,61,2074
864691135303140224,1929.894,1261,0.653403762,148,1392
864691135771800832,1840.7291,1421,0.771976713,78,1442
864691135575405568,1869.8862,1835,0.981343143,75,1907
864691136812038016,1887.6547,1353,0.716762446,149,1484
864691135564628864,1862.3012,2072,1.11260198,179,2228
864691136588144512,1866.8379,1747,0.935807014,58,1769
864691135081710336,1867.3709,1184,0.634046509,122,1272
864691135538138496,1819.9531,1893,1.04013669,113,1949
864691135782168064,1875.8916,1440,0.767634974,35,1453
864691135925546752,1892.4425,2060,1.08854034,129,2146
864691135954098688,1887.9546,1165,0.617069923,64,1209
864691135866415104,1838.7179,1613,0.877241691,63,1654
864691135385288832,1887.9598,1538,0.81463599,111,1599
864691136810557568,1877.4639,1542,0.821320719,131,1625
864691136451062016,1899.5831,1996,1.05075687,263,2261
864691135345097856,1875.4034,1566,0.835020348,36,1585
864691136328881920,1867.165,1677,0.898153082,69,1744
864691134940012416,1864.5527,1453,0.779275373,33,1534
864691135490481792,1886.8917,1893,1.00323723,81,1925
864691135799747200,1858.5355,2113,1.13691667,83,2153
864691135739604864,1916.1341,1637,0.85432434,114,1696
864691135644663040,1820.0491,1203,0.660971179,71,1227
864691135467535488,1848.3375,1683,0.910547992,178,1784
864691136915085440,1858.1972,1805,0.971371607,68,1820
864691135365078528,1809.6851,1394,0.770299761,82,1409
864691135771610880,1936.7829,1376,0.7104565,237,1708
864691136665101568,1823.0117,2074,1.13767783,67,2147
864691135596988416,1883.2172,1770,0.939880965,110,1819
864691135702983552,1837.8004,1830,0.995755578,59,1891
864691135303162240,1875.4905,1342,0.715546146,106,1395
864691135476165248,1893.0196,1247,0.658735916,76,1285
864691135345202304,1899.6995,1340,0.705374718,85,1393
864691135012893056,1825.9512,1541,0.843943694,51,1568
864691135974441856,1885.8393,2264,1.20052647,116,2346
864691135660487424,1924.5502,1653,0.858901992,99,1692
864691135695958656,1862.3808,1184,0.635745386,169,1361
864691135609452544,1846.0256,1299,0.703673882,68,1350
864691135974790272,1867.1927,1415,0.757822157,62,1443
864691136237822720,1915.289,2020,1.05467112,118,2057
864691135748591360,1849.4079,1860,1.00572729,208,2025
864691135715235840,1827.2378,1281,0.701058176,51,1300
864691135738317696,1824.0735,1606,0.880446978,69,1625
864691136090913664,1865.017,1406,0.753880528,235,1591
864691134988451968,1863.2266,1593,0.854968472,33,1640
864691136311843072,1854.7743,1811,0.976399123,133,1887
864691135686914816,1874.1968,1703,0.908655911,42,1761
864691135937185536,1844.96,1812,0.982135114,55,1842
864691136272931456,1887.5389,1129,0.598133368,111,1206
864691135210039808,1812.7876,1297,0.715472679,49,1334
864691136925338496,1875.1194,1547,0.82501413,37,1562
864691135937376000,1895.4004,1730,0.912735905,46,1777
864691135633012224,1873.4167,1459,0.778790965,95,1504
864691136329267968,1836.8479,1271,0.691946241,93,1331
864691135104026496,1855.2399,1534,0.826847245,86,1570
864691135360447616,1867.6514,1088,0.582549827,32,1131
864691136123784704,1890.1607,1706,0.90256876,85,1820
864691135724239232,1964.2573,1714,0.872594441,128,1912
864691135968883584,1836.2698,1003,0.54621603,51,1037
864691135516211968,1869.4501,1834,0.981037151,182,1960
864691135730113408,1873.9624,1742,0.929581084,77,1763
864691135593532672,1860.7606,1323,0.710999577,156,1430
864691135855668736,1878.7204,1249,0.6648142,60,1263
864691135865506944,1860.679,1187,0.637939161,36,1216
864691135337687552,1894.8214,2088,1.10195082,132,2361
864691135012891520,1835.6416,1954,1.06447795,66,1980
864691136116166784,1847.1891,1695,0.917610438,61,1720
864691136535803520,1836.052,819,0.446065798,29,837
864691135739600000,1833.4697,1942,1.05919394,115,2019
864691136602109696,1847.6635,1253,0.678153787,36,1280
864691135493970304,1888.3084,2180,1.15447244,127,2281
864691136273015680,1830.8013,1257,0.686584612,89,1299
864691135516582400,1873.1402,1978,1.05598075,133,2048
864691136031643008,1894.1824,1771,0.934968037,147,1967
864691136273004416,1888.0064,1952,1.0338948,98,2053
864691135937207552,1861.2888,1175,0.631283012,58,1211
864691136005148416,1877.042,1129,0.601478283,52,1171
864691136204617344,1858.8929,2769,1.48959631,70,2862
864691135771644672,1911.9254,1218,0.637054144,40,1244
864691135476115072,1832.6676,1471,0.802655102,62,1510
864691135103962752,1864.6322,1758,0.94281328,120,1820
864691135654435328,1836.0062,1385,0.754354751,68,1412
864691135771622656,1835.2801,1458,0.794429145,39,1494
864691134988463744,1857.6429,1114,0.599684686,102,1169
864691136333745024,1829.8141,1381,0.754721477,63,1399
864691136436421248,1884.6029,1382,0.73331098,195,1537
864691136942743552,1849.8599,1822,0.984939454,49,1847
864691136005017088,1883.5038,1686,0.895140217,56,1765
864691135385304704,1876.9718,1690,0.900386463,107,1721
864691135777147264,1863.1983,1230,0.660155175,55,1263
864691136311794688,1852.0932,1483,0.800715644,27,1484
864691136826955392,1879.7817,2694,1.43314514,172,2841
864691135686988800,1868.1744,1043,0.558299054,80,1081
864691135468362112,1891.8809,1948,1.02966313,68,2014
864691136723545088,1861.6144,1615,0.867526594,141,1708
864691135815483776,1839.6661,1716,0.932777964,182,1891
864691136174955520,1925.8544,1762,0.914918594,41,1808
864691136004717312,1878.9461,1996,1.06229764,67,2170
864691135292188544,1845.0333,488,0.264493871,19,505
864691135118156800,1907.5856,1657,0.868637297,110,1693
864691135494045056,1873.0964,1501,0.801346903,74,1555
864691136237523456,1928.5688,1111,0.576074859,36,1141
864691135272378880,1851.1371,1337,0.722258767,112,1415
864691135939357184,1881.4022,1601,0.850961054,67,1635
864691135415463552,1869.5553,1620,0.866516224,92,2098
864691135341071616,1828.1891,1729,0.945744617,36,1753
864691135739620992,1886.0422,1768,0.937412747,84,1806
864691135873608064,1883.0036,1261,0.669674769,30,1273
864691135581139200,1895.5928,1475,0.778120702,109,1534
864691135883884160,1863.0451,816,0.437992618,55,835
864691136811837824,1899.1646,1528,0.804564281,62,1547
864691135212701824,1895.6185,1336,0.704783162,139,1477
864691135476107904,1887.801,2187,1.15849075,132,2274
864691136194109696,1863.8127,1181,0.633647362,68,1198
864691135012917888,1910.8305,1431,0.74888903,109,1456
864691135865514880,1849.6083,1781,0.962906579,154,2001
864691136815800448,1911.9855,1355,0.708687383,89,1382
864691135510496512,1848.877,1583,0.856195409,278,1859
864691135730115200,1907.3036,1428,0.748700941,68,1439
864691135987093248,1895.3416,1441,0.760285112,216,1586
864691136065815424,1876.2902,1527,0.813839991,58,1538
864691135571296768,1908.8126,1578,0.826691945,68,1612
864691135837208704,1882.0469,1778,0.944716096,99,1801
864691135715233792,1835.9671,1656,0.901976947,63,1668
864691135533833216,1867.0256,1583,0.84787268,173,1701
864691135876003200,1934.1904,1129,0.583706754,64,1167
864691135104010624,1950.0745,1078,0.552799393,25,1135
864691135915345792,1882.3067,1434,0.761831215,135,1486
864691135686933248,1882.6635,1140,0.605525098,115,1243
864691135373707648,1865.9151,2182,1.1693994,124,2226
864691136723494400,1923.4798,1659,0.86249931,63,1688
864691137019579264,1884.5844,1646,0.873402115,66,1671
864691135384727808,1843.3525,1514,0.821329615,77,1533
864691135462768128,1870.3612,1495,0.79931085,129,1559
864691135951990272,1796.4097,2063,1.14840173,58,2104
864691135951313152,1838.3747,1355,0.737064103,40,1404
864691136617123072,1911.356,1191,0.623117828,110,1247
864691135480798720,1854.3866,1474,0.794872008,153,1579
864691135615808384,1887.9241,1348,0.714011755,268,1668
864691135939860224,1916.8988,1497,0.780948895,61,1525
864691136088931072,1888.5052,1292,0.684138969,166,1488
864691135012350976,1782.7713,1586,0.889626168,34,1594
864691135850415360,1903.0285,1234,0.648440105,304,1513
864691135407281920,1896.3614,2498,1.31725946,69,2606
864691135571214848,1912.8151,1953,1.02100825,110,1999
864691135568922240,1910.2887,1968,1.03021077,63,2000
864691136065211264,1852.0816,1712,0.92436532,86,1716
864691135345185920,1863.0508,1427,0.765947982,134,1544
864691136309986944,1865.1251,721,0.386569244,29,739
864691135915191168,1808.0903,1929,1.06687149,102,1956
864691135488273408,1888.98,1212,0.64161611,160,1340
864691136903017088,1885.9396,1830,0.970338605,203,2001
864691135724584832,1809.2814,1266,0.699725316,60,1290
864691135753698816,1893.6602,1676,0.88505847,82,1848
864691135272160256,1889.5313,1663,0.880112438,156,1757
864691136008762752,1833.9745,1174,0.640139762,129,1300
864691135771709824,1878.1157,1197,0.637340926,72,1259
864691135807622528,1865.7564,2019,1.08213484,128,2046
864691135122308096,1877.5276,1495,0.796259932,123,1600
864691136379127552,1787.6407,1364,0.763016864,76,1454
864691136236720640,1830.0552,1711,0.934944476,40,1765
864691136601565440,1893.7946,2087,1.10202025,76,2121
864691135715514880,1823.919,1191,0.652989524,39,1230
864691135941485184,1892.3021,1018,0.53796907,56,1023
864691135381340672,1908.7986,1890,0.990151606,70,1920
864691135407271936,1901.3957,1792,0.942465579,107,1834
864691136194331520,1794.3934,1262,0.70330174,48,1344
864691136272991872,1809.9604,2105,1.16300887,42,2126
864691135760291712,1844.0581,1655,0.897477146,40,1683
864691135132862592,1873.7972,1222,0.652151684,67,1245
864691136143407616,1891.2787,1281,0.67731953,38,1302
864691135475585024,1882.048,1692,0.899020641,53,1736
864691135654040064,1840.2486,1941,1.0547488,66,1959
864691135207952256,1826.2012,1874,1.0261739,84,1955
864691135407278848,1946.4775,1279,0.6570844,58,1311
864691135209990912,1909.9758,1203,0.629850912,78,1224
864691136089266688,1810.1442,1333,0.73640542,64,1383
864691136008428672,1842.6574,2113,1.14671344,77,2171
864691135615771776,1852.5728,1543,0.832895744,159,1661
864691136319462528,1912.6843,2284,1.19413329,58,2358
864691135909790592,1808.1849,1370,0.757665878,51,1381
864691136723455744,1943.1901,1647,0.847575335,126,1768
864691135850620672,1803.8714,1705,0.94518933,102,1779
864691135747946368,1887.5721,1367,0.724210747,48,1409
864691136065821056,1889.4917,1422,0.752583354,66,1456
864691136084509824,1882.0068,1839,0.977148435,111,1859
864691136813003520,1868.6671,1174,0.628255295,39,1219
864691136903357568,1875.9695,1961,1.04532616,87,1982
864691135617723776,1922.5936,1359,0.706857653,135,1418
864691135104030336,1863.4502,2569,1.37862552,205,2916
864691135212653952,1842.9623,981,0.532295208,48,1004
864691135058539648,1870.5657,943,0.50412557,81,1012
864691136906681728,1838.3491,1573,0.855659026,103,1615
864691135373372416,1878.682,953,0.507270523,108,1041
864691136005755520,1889.9295,1607,0.850296268,62,1637
864691135584033408,1870.0057,1801,0.963098669,358,2316
864691136617102592,1786.589,2566,1.43625646,17,2574
864691135875968128,1826.6993,1864,1.02041973,78,1888
864691136907324288,1890.7859,1546,0.817649423,91,1582
864691135474767872,1881.6229,1620,0.860958909,87,1663
864691136039354368,1900.3134,1716,0.903008946,170,1837
864691135403777792,1838.525,1439,0.782692648,34,1505
864691135366988032,1919.5109,2156,1.12320279,59,2206
864691136698520960,1866.0487,1082,0.579834814,59,1117
864691135210436096,1812.367,1257,0.693568135,69,1260
864691135884040576,1957.1641,1893,0.967215779,165,1995
864691135544670976,1829.7418,1583,0.865149389,103,1629
864691135586658560,1889.8817,1189,0.629139909,115,1272
864691136601815296,1906.0342,1903,0.998408108,104,1918
864691136577528832,1833.9418,1424,0.77646957,94,1518
864691135799776896,1842.5142,1801,0.977468722,64,1844
864691135155545472,1839.6285,1472,0.800161554,172,1598
864691135291756928,1883.7463,843,0.447512491,34,825
864691136451066368,1903.9659,1560,0.819342405,54,1579
864691135488210944,1859.5788,1608,0.864711944,55,1651
864691135888819328,1910.7598,1447,0.757290372,80,1478
864691136577512192,1886.4387,1522,0.806811268,73,1585
864691135945495552,1867.1841,1270,0.680168603,58,1306
864691136194202880,1918.8566,1574,0.820280161,127,1656
864691136226978432,1883.3448,1952,1.03645387,33,2018
864691135494071680,1864.1842,1527,0.819125063,97,1560
864691135355318016,1903.3856,1323,0.695077235,184,1473
864691135660754944,1896.7026,1576,0.830915717,75,1592
864691137019956864,1839.5274,1155,0.627878661,85,1213
864691135841359872,1894.9473,1469,0.775219448,158,1574
864691135866978048,1839.8482,1655,0.899530733,107,1725
864691136031744128,1925.9371,1512,0.785072368,219,1779
864691136965782528,1875.0946,2091,1.11514374,104,2137
864691135155525504,1928.8504,1259,0.652720398,88,1301
864691135470783232,1864.1776,1799,0.965036808,71,1818
864691135274139648,1875.8921,1450,0.772965567,79,1488
864691135939844608,1874.3834,1140,0.608200009,108,1250
864691135064990080,1879.2967,1600,0.851382328,92,1626
864691134988473472,1900.6225,1158,0.609274067,59,1203
864691135012889472,1841.2085,1807,0.981420627,99,1860
864691135782599424,1853.981,1482,0.799360943,200,1669
864691135488522752,1911.862,988,0.5167737,187,1158
864691135903064448,1858.98,1030,0.554067284,50,1054
864691134964691200,1877.3432,1188,0.632809174,60,1226
864691135341162368,1789.8606,1751,0.978288477,72,1777
864691135569141632,1901.4343,1631,0.857773524,86,1646
864691135991517440,1819.1497,1685,0.926256921,171,1842
864691136105470464,1835.6292,1215,0.661898383,37,1268
864691135359161216,1939.4399,1375,0.708967574,111,1429
864691135686939904,1881.422,1572,0.835538226,107,1653
864691136194091776,1911.255,1492,0.7806389,51,1518
864691135937186304,1850.0581,1087,0.587549115,62,1170
864691136672667264,1870.3317,1244,0.665122662,102,1294
864691136023782144,1838.4852,1419,0.77183107,73,1460
864691135476141952,1836.7974,1653,0.899935943,132,1754
864691136039362560,1931.3731,1650,0.854314477,67,1679
864691135975457920,1895.2397,1627,0.85846661,82,1648
864691135514620672,1833.7849,1651,0.900323697,107,1712
864691135256141184,1898.0458,1311,0.690710414,67,1361
864691137019973760,1873.8159,1320,0.704444871,78,1348
864691136903362176,1933.4646,1698,0.878216234,189,1856
864691135508684544,1827.7271,1685,0.92191006,67,1750
864691136740411008,1846.7712,1208,0.654114597,151,1392
864691135345158016,1805.9934,1370,0.758585275,31,1395
864691135748546048,1911.4265,941,0.492302477,97,1048
864691135866420224,1896.3424,1226,0.646507719,52,1266
864691136577518848,1873.0305,1647,0.879323642,57,1671
864691136065830016,1897.0053,1695,0.893513582,89,1724
864691135212658304,1898.8277,1756,0.924781116,102,1785
864691135567731200,1865.9922,1745,0.935159322,160,1857
864691136123940352,1897.6784,1856,0.978037164,184,1987
864691135609466880,1909.0332,1697,0.888931633,118,1775
864691135865932160,1857.963,1106,0.595275579,64,1175
864691136451108608,1869.7421,1676,0.896380308,80,1704
864691135776616064,1924.9535,1751,0.909632363,32,1798
864691135609435648,1895.7986,1427,0.752717087,181,1596
864691135501805440,1856.2045,1168,0.629241013,98,1214
864691136823586432,1886.7479,1507,0.79872886,148,1641
864691134917384448,1866.5807,1156,0.619314236,253,1368
864691136175476992,1788.5899,1792,1.00190659,33,1869
864691135575099648,1893.9781,2007,1.05967434,83,2097
864691135737499264,1875.4424,1805,0.962439582,106,1849
864691135925922048,1823.7441,2466,1.35216339,142,2672
864691136723338240,1863.1751,1361,0.73047348,55,1397
864691135538147456,1871.9413,1532,0.818401731,42,1542
864691134947402752,1869.0303,1420,0.759752263,134,1549
864691136226953088,1914.2699,1557,0.813364928,128,1655
864691135575104256,1833.5145,2407,1.31277936,115,2505
864691136237451520,1869.7272,1502,0.803325747,30,1523
864691135509059584,1804.9663,1742,0.965114972,74,1781
